tanggal,curah_hujan,suhu_udara,kelembapan_udara
2020-01-01,0.0,27.6,81.0
2020-01-02,0.0,27.5,81.0
2020-01-03,1.75,27.4,86.0
2020-01-04,3.5,26.0,90.0
2020-01-05,1.7,27.0,85.0
2020-01-06,0.85,27.0,83.0
2020-01-07,0.0,27.6,76.0
2020-01-08,0.0,27.9,79.0
2020-01-09,0.0,27.2,84.0
2020-01-10,2.6,28.1,79.0
2020-01-11,0.0,27.9,81.0
2020-01-12,0.0,27.6,78.0
2020-01-13,0.0,28.3,79.0
2020-01-14,0.0,28.0,80.0
2020-01-15,0.0,28.1,78.0
2020-01-16,0.0,28.3,79.0
2020-01-17,0.0,27.9,81.0
2020-01-18,0.0,27.8,82.0
2020-01-19,0.0,27.9,87.0
2020-01-20,20.1,28.0,85.0
2020-01-21,14.400000000000002,27.2,84.0
2020-01-22,8.700000000000001,27.4,83.0
2020-01-23,3.0,27.7,80.0
2020-01-24,0.0,28.2,83.0
2020-01-25,0.0,29.1,76.0
2020-01-26,0.0,28.6,79.0
2020-01-27,1.25,27.6,82.0
2020-01-28,2.5,27.7,83.0
2020-01-29,2.25,25.1,93.0
2020-01-30,2.0,27.4,83.0
2020-01-31,0.0,27.0,84.0
2020-02-01,0.0,28.4,81.0
2020-02-02,0.0,27.9,85.0
2020-02-03,0.4,27.4,84.0
2020-02-04,0.0,27.4,83.0
2020-02-05,0.0,28.1,78.0
2020-02-06,0.0,27.8,82.0
2020-02-07,0.0,26.2,78.0
2020-02-08,0.0,27.7,79.0
2020-02-09,0.0,27.9,76.0
2020-02-10,0.0,28.1,82.0
2020-02-11,23.0,28.0,83.0
2020-02-12,0.8,27.2,89.0
2020-02-13,7.8,28.0,86.0
2020-02-14,3.3,28.4,84.0
2020-02-15,7.6000000000000005,25.8,92.0
2020-02-16,11.9,28.2,83.0
2020-02-17,0.0,28.1,84.0
2020-02-18,1.3,25.7,91.0
2020-02-19,5.5,26.4,87.0
2020-02-20,1.5,28.0,83.0
2020-02-21,1.25,27.1,86.0
2020-02-22,1.0,26.7,86.0
2020-02-23,0.5,28.0,81.0
2020-02-24,0.0,27.8,84.0
2020-02-25,21.3,28.5,81.0
2020-02-26,10.65,28.6,82.0
2020-02-27,0.0,29.4,77.0
2020-02-28,0.0,27.6,82.0
2020-02-29,2.2,29.4,77.0
2020-03-01,0.0,28.1,84.0
2020-03-02,7.65,28.0,86.0
2020-03-03,15.3,28.6,81.0
2020-03-04,0.0,28.7,82.0
2020-03-05,0.0,28.0,85.0
2020-03-06,9.6,27.8,81.0
2020-03-07,4.8,28.3,82.0
2020-03-08,0.0,29.5,79.0
2020-03-09,0.0,29.5,82.0
2020-03-10,0.0,28.7,83.0
2020-03-11,1.8,28.1,83.0
2020-03-12,0.9,28.9,80.0
2020-03-13,0.0,29.0,82.0
2020-03-14,0.0,29.5,80.0
2020-03-15,0.0,29.5,79.0
2020-03-16,0.0,29.9,77.0
2020-03-17,3.75,26.7,87.0
2020-03-18,7.5,27.7,83.0
2020-03-19,2.5,28.7,79.0
2020-03-20,0.0,28.6,80.0
2020-03-21,0.5,27.5,84.0
2020-03-22,0.25,29.0,79.0
2020-03-23,0.0,27.3,86.0
2020-03-24,7.8,28.3,80.0
2020-03-25,3.9,29.3,78.0
2020-03-26,0.0,28.2,80.0
2020-03-27,0.9,28.2,85.0
2020-03-28,1.8,28.4,86.0
2020-03-29,1.5,30.0,79.0
2020-03-30,0.0,28.4,81.0
2020-03-31,0.0,29.5,78.0
2020-04-01,0.0,29.0,82.0
2020-04-02,11.8,29.1,81.0
2020-04-03,0.0,28.5,83.0
2020-04-04,0.0,28.6,80.0
2020-04-05,0.0,28.2,82.0
2020-04-06,2.6,26.2,87.0
2020-04-07,5.2,28.2,81.0
2020-04-08,1.1,28.7,80.0
2020-04-09,2.4,27.4,86.0
2020-04-10,36.0,28.8,82.0
2020-04-11,29.6,29.8,79.0
2020-04-12,23.2,29.1,78.0
2020-04-13,16.799999999999997,26.9,91.0
2020-04-14,10.4,26.9,89.0
2020-04-15,16.2,30.0,79.0
2020-04-16,14.033333333333333,28.0,86.0
2020-04-17,11.866666666666667,26.4,92.0
2020-04-18,9.7,29.1,80.0
2020-04-19,0.0,28.7,83.0
2020-04-20,0.0,28.5,82.0
2020-04-21,2.466666666666667,29.3,80.0
2020-04-22,4.933333333333334,28.4,83.0
2020-04-23,7.4,26.7,88.0
2020-04-24,1.3,29.0,80.0
2020-04-25,0.0,27.4,88.0
2020-04-26,5.9,27.7,86.0
2020-04-27,11.8,27.2,86.0
2020-04-28,17.700000000000003,26.5,89.0
2020-04-29,23.6,27.4,84.0
2020-04-30,21.9,27.1,85.0
2020-05-01,11.4,26.7,87.0
2020-05-02,3.1,28.7,83.0
2020-05-03,0.0,26.7,89.0
2020-05-04,14.0,28.4,84.0
2020-05-05,8.4,27.8,84.0
2020-05-06,15.0,29.3,81.0
2020-05-07,0.0,27.7,87.0
2020-05-08,3.0,28.4,83.0
2020-05-09,6.0,27.3,90.0
2020-05-10,10.0,27.6,88.0
2020-05-11,6.7666666666666675,28.1,86.0
2020-05-12,3.533333333333334,28.1,87.0
2020-05-13,0.3,30.0,80.0
2020-05-14,0.0,27.6,88.0
2020-05-15,0.0,29.3,83.0
2020-05-16,0.0,29.0,84.0
2020-05-17,0.0,26.1,95.0
2020-05-18,14.4,29.5,83.0
2020-05-19,0.0,29.3,81.0
2020-05-20,0.0,28.7,84.0
2020-05-21,3.1,29.1,82.0
2020-05-22,0.3,27.5,88.0
2020-05-23,1.0,28.8,84.0
2020-05-24,1.4,27.3,88.0
2020-05-25,1.8,27.8,87.0
2020-05-26,13.1,27.5,88.0
2020-05-27,5.3,28.6,85.0
2020-05-28,0.4,29.0,82.0
2020-05-29,0.9500000000000001,27.1,90.0
2020-05-30,1.5,29.4,81.0
2020-05-31,0.0,27.0,92.0
2020-06-01,4.9,28.8,84.0
2020-06-02,5.5,27.9,83.0
2020-06-03,19.95,27.9,84.0
2020-06-04,34.4,27.5,87.0
2020-06-05,29.833333333333332,25.9,91.0
2020-06-06,25.266666666666666,27.4,86.0
2020-06-07,20.7,27.6,84.0
2020-06-08,16.133333333333333,29.2,80.0
2020-06-09,11.566666666666666,28.6,82.0
2020-06-10,7.0,27.6,86.0
2020-06-11,3.5,28.4,85.0
2020-06-12,0.0,27.5,88.0
2020-06-13,7.06,27.6,84.0
2020-06-14,14.12,28.4,84.0
2020-06-15,21.18,27.2,91.0
2020-06-16,28.24,26.7,89.0
2020-06-17,35.3,27.8,86.0
2020-06-18,18.7,26.6,89.0
2020-06-19,2.1,28.5,83.0
2020-06-20,1.2,27.0,88.0
2020-06-21,27.0,26.6,88.0
2020-06-22,10.1,27.0,86.0
2020-06-23,8.233333333333333,27.8,87.0
2020-06-24,6.366666666666667,27.4,83.0
2020-06-25,4.5,27.1,86.0
2020-06-26,2.25,28.4,86.0
2020-06-27,0.0,27.8,86.0
2020-06-28,18.8,27.5,88.0
2020-06-29,9.4,29.8,78.0
2020-06-30,0.0,27.8,85.0
2020-07-01,1.15,27.0,86.0
2020-07-02,2.3,27.3,85.0
2020-07-03,3.5,27.6,84.0
2020-07-04,3.3,27.6,87.0
2020-07-05,5.2,28.8,80.0
2020-07-06,4.800000000000001,25.3,92.0
2020-07-07,4.4,27.5,84.0
2020-07-08,0.0,27.4,83.0
2020-07-09,1.5,27.4,87.0
2020-07-10,3.0,26.3,88.0
2020-07-11,8.9,27.4,85.0
2020-07-12,14.8,26.1,90.0
2020-07-13,33.5,27.3,87.0
2020-07-14,16.75,28.1,84.0
2020-07-15,0.0,28.8,81.0
2020-07-16,0.0,27.9,87.0
2020-07-17,5.5,28.3,84.0
2020-07-18,15.0,26.7,90.0
2020-07-19,24.5,28.4,84.0
2020-07-20,0.0,26.9,88.0
2020-07-21,5.666666666666667,28.4,83.0
2020-07-22,11.333333333333334,27.1,88.0
2020-07-23,17.0,26.3,88.0
2020-07-24,16.7,26.7,90.0
2020-07-25,0.8,26.9,89.0
2020-07-26,8.7,26.2,92.0
2020-07-27,8.333333333333332,26.2,90.0
2020-07-28,7.966666666666666,26.8,87.0
2020-07-29,7.6,28.0,83.0
2020-07-30,12.875,28.2,82.0
2020-07-31,18.15,28.5,84.0
2020-08-01,23.425,28.2,84.0
2020-08-02,28.7,28.7,84.0
2020-08-03,18.35,27.9,83.0
2020-08-04,8.0,28.3,82.0
2020-08-05,0.0,29.0,81.0
2020-08-06,0.0,28.8,82.0
2020-08-07,2.7,29.6,78.0
2020-08-08,1.35,29.7,80.0
2020-08-09,0.0,29.5,80.0
2020-08-10,0.0,29.0,77.0
2020-08-11,0.0,28.1,86.0
2020-08-12,1.0,26.1,93.0
2020-08-13,2.0,26.6,86.0
2020-08-14,18.4,28.0,82.0
2020-08-15,0.0,28.8,82.0
2020-08-16,0.0,28.8,83.0
2020-08-17,9.75,26.9,87.0
2020-08-18,19.5,26.7,85.0
2020-08-19,9.7,27.5,85.0
2020-08-20,1.5,28.8,82.0
2020-08-21,0.0,27.4,88.0
2020-08-22,2.6,25.9,90.0
2020-08-23,3.9,27.7,82.0
2020-08-24,21.8,28.5,81.0
2020-08-25,0.0,28.0,82.0
2020-08-26,0.0,27.8,84.0
2020-08-27,15.15,26.8,88.0
2020-08-28,30.3,27.4,85.0
2020-08-29,15.15,27.7,84.0
2020-08-30,0.0,27.8,85.0
2020-08-31,0.0,26.3,91.0
2020-09-01,30.0,29.0,80.0
2020-09-02,17.4,27.5,81.0
2020-09-03,4.8,29.2,80.0
2020-09-04,5.4,26.5,90.0
2020-09-05,6.0,26.9,86.0
2020-09-06,31.0,25.7,89.0
2020-09-07,16.9,28.0,80.0
2020-09-08,12.45,28.4,79.0
2020-09-09,8.0,26.6,90.0
2020-09-10,10.9,27.4,85.0
2020-09-11,27.2,26.9,87.0
2020-09-12,2.2,26.4,89.0
2020-09-13,8.3,27.3,85.0
2020-09-14,17.75,26.0,89.0
2020-09-15,27.2,26.5,89.0
2020-09-16,7.6,28.5,84.0
2020-09-17,6.514285714285714,28.3,81.0
2020-09-18,5.428571428571429,27.9,83.0
2020-09-19,4.3428571428571425,28.2,82.0
2020-09-20,3.257142857142857,28.6,84.0
2020-09-21,2.1714285714285717,29.3,80.0
2020-09-22,1.0857142857142854,29.1,82.0
2020-09-23,0.0,27.2,86.0
2020-09-24,2.8,26.0,90.0
2020-09-25,25.5,26.3,89.0
2020-09-26,17.0,27.2,86.0
2020-09-27,8.5,28.2,80.0
2020-09-28,0.0,29.1,77.0
2020-09-29,2.0,26.0,90.0
2020-09-30,2.2666666666666666,26.6,88.0
2020-10-01,2.533333333333333,27.4,88.0
2020-10-02,2.8,26.3,89.0
2020-10-03,7.3,26.5,88.0
2020-10-04,30.0,26.5,87.0
2020-10-05,15.0,27.5,84.0
2020-10-06,0.0,27.4,85.0
2020-10-07,0.5,28.0,82.0
2020-10-08,1.0,28.9,80.0
2020-10-09,0.0,28.8,77.0
2020-10-10,0.0,28.2,80.0
2020-10-11,1.1,28.7,83.0
2020-10-12,0.0,26.7,90.0
2020-10-13,7.1,26.2,89.0
2020-10-14,14.2,26.5,86.0
2020-10-15,25.5,27.7,87.0
2020-10-16,30.0,28.6,83.0
2020-10-17,7.0,29.0,73.0
2020-10-18,0.0,28.9,78.0
2020-10-19,13.05,27.7,84.0
2020-10-20,26.1,28.4,80.0
2020-10-21,17.4,27.1,85.0
2020-10-22,8.7,26.9,87.0
2020-10-23,0.0,26.6,88.0
2020-10-24,11.8,26.2,88.0
2020-10-25,23.450000000000003,26.6,86.0
2020-10-26,35.1,26.6,90.0
2020-10-27,0.0,28.5,81.0
2020-10-28,0.2,28.7,80.0
2020-10-29,1.1,27.9,79.0
2020-10-30,5.0,27.6,80.0
2020-10-31,16.5,26.7,84.0
2020-11-01,19.5,27.0,87.0
2020-11-02,1.3,27.3,84.0
2020-11-03,0.0,26.4,86.0
2020-11-04,10.7,26.4,86.0
2020-11-05,26.6,26.6,86.0
2020-11-06,20.0,26.6,89.0
2020-11-07,24.6,25.6,92.0
2020-11-08,29.2,26.6,88.0
2020-11-09,14.5,26.4,88.0
2020-11-10,0.0,27.4,86.0
2020-11-11,0.0,28.3,81.0
2020-11-12,0.8,25.8,92.0
2020-11-13,1.6,26.6,88.0
2020-11-14,10.3,28.0,83.0
2020-11-15,8.8,26.6,90.0
2020-11-16,7.3,27.2,84.0
2020-11-17,12.5,27.7,80.0
2020-11-18,12.0,26.8,87.0
2020-11-19,6.25,27.6,83.0
2020-11-20,0.5,27.4,83.0
2020-11-21,1.2,27.2,82.0
2020-11-22,18.3,25.8,90.0
2020-11-23,2.8,25.5,92.0
2020-11-24,18.3,25.8,88.0
2020-11-25,11.8,27.7,80.0
2020-11-26,0.0,26.6,85.0
2020-11-27,10.9,26.0,88.0
2020-11-28,8.35,26.9,86.0
2020-11-29,5.8,27.5,84.0
2020-11-30,0.0,27.3,83.0
2020-12-01,5.5,27.6,83.0
2020-12-02,1.0,26.8,85.0
2020-12-03,16.9,26.9,86.0
2020-12-04,20.7,25.6,90.0
2020-12-05,24.5,25.8,91.0
2020-12-06,14.5,26.1,90.0
2020-12-07,4.5,26.8,84.0
2020-12-08,0.5,26.7,88.0
2020-12-09,3.6,27.4,81.0
2020-12-10,0.0,26.4,85.0
2020-12-11,33.0,27.3,82.0
2020-12-12,0.1,26.8,81.0
2020-12-13,0.725,26.9,82.0
2020-12-14,1.35,28.0,76.0
2020-12-15,1.975,27.1,83.0
2020-12-16,2.6,27.2,79.0
2020-12-17,5.5,27.0,82.0
2020-12-18,0.0,26.0,85.0
2020-12-19,1.5,26.9,82.0
2020-12-20,0.0,26.3,86.0
2020-12-21,0.6333333333333333,27.2,81.0
2020-12-22,1.2666666666666666,26.2,87.0
2020-12-23,1.9,27.6,77.0
2020-12-24,12.7,26.6,84.0
2020-12-25,9.799999999999999,26.8,84.0
2020-12-26,6.8999999999999995,25.2,94.0
2020-12-27,4.0,26.7,86.0
2020-12-28,2.0,28.0,80.0
2020-12-29,0.0,26.3,85.0
2020-12-30,10.4,27.1,78.0
2020-12-31,0.0,26.8,82.0
2021-01-01,1.6,26.4,84.0
2021-01-02,19.8,26.2,84.0
2021-01-03,5.6,26.5,94.0
2021-01-04,1.2,26.8,82.0
2021-01-05,1.2,26.4,86.0
2021-01-06,1.2,25.9,90.0
2021-01-07,1.2,27.1,84.0
2021-01-08,1.5,26.6,85.0
2021-01-09,28.1,26.1,89.0
2021-01-10,8.1,25.2,91.0
2021-01-11,8.4,25.6,90.0
2021-01-12,8.7,26.2,85.0
2021-01-13,9.0,25.3,89.0
2021-01-14,26.2,27.0,81.0
2021-01-15,2.5,26.9,83.0
2021-01-16,18.4,25.6,88.0
2021-01-17,11.2,28.0,79.0
2021-01-18,16.2,25.0,91.0
2021-01-19,10.8,26.5,85.0
2021-01-20,5.4,26.2,84.0
2021-01-21,0.0,27.6,77.0
2021-01-22,0.0,25.2,88.0
2021-01-23,10.5,26.7,82.0
2021-01-24,6.5,26.7,85.0
2021-01-25,2.5,27.3,80.0
2021-01-26,1.25,27.6,79.0
2021-01-27,0.0,26.9,83.0
2021-01-28,1.0,26.5,86.0
2021-01-29,0.6666666666666667,25.3,91.0
2021-01-30,0.33333333333333337,26.5,84.0
2021-01-31,0.0,27.5,80.0
2021-02-01,0.0,27.0,85.0
2021-02-02,18.0,26.8,84.0
2021-02-03,0.0,28.2,79.0
2021-02-04,0.0,26.4,87.0
2021-02-05,14.1,27.3,82.0
2021-02-06,0.6,28.6,75.0
2021-02-07,0.0,28.3,79.0
2021-02-08,11.8,27.4,82.0
2021-02-09,23.6,28.6,79.0
2021-02-10,0.0,27.2,85.0
2021-02-11,20.7,27.3,84.0
2021-02-12,0.0,28.3,78.0
2021-02-13,0.0,28.8,77.0
2021-02-14,0.0,28.9,75.0
2021-02-15,0.0,28.3,77.0
2021-02-16,0.0,28.7,75.0
2021-02-17,0.0,27.8,75.0
2021-02-18,4.7,27.0,80.0
2021-02-19,9.4,26.9,78.0
2021-02-20,4.7,27.5,77.0
2021-02-21,0.0,28.5,77.0
2021-02-22,0.0,28.8,77.0
2021-02-23,0.0,28.6,73.0
2021-02-24,0.0,28.8,74.0
2021-02-25,0.0,28.0,78.0
2021-02-26,1.5,28.8,76.0
2021-02-27,0.0,28.8,77.0
2021-02-28,0.0,28.7,76.0
2021-03-01,0.0,27.0,83.0
2021-03-02,3.033333333333333,28.5,78.0
2021-03-03,6.066666666666666,26.2,84.0
2021-03-04,9.1,28.4,79.0
2021-03-05,0.0,28.4,76.0
2021-03-06,0.0,27.1,83.0
2021-03-07,0.0,26.6,83.0
2021-03-08,10.3,28.4,77.0
2021-03-09,0.0,27.8,78.0
2021-03-10,0.0,27.9,74.0
2021-03-11,0.0,27.9,76.0
2021-03-12,0.0,27.3,80.0
2021-03-13,4.5,26.7,84.0
2021-03-14,33.5,28.2,77.0
2021-03-15,0.0,28.3,77.0
2021-03-16,0.0,27.8,78.0
2021-03-17,0.0,28.2,75.0
2021-03-18,0.0,28.5,78.0
2021-03-19,1.0,28.0,82.0
2021-03-20,0.5,28.9,76.0
2021-03-21,0.0,27.5,82.0
2021-03-22,14.2,28.0,82.0
2021-03-23,7.2,26.0,88.0
2021-03-24,4.0,27.1,85.0
2021-03-25,0.8,26.5,87.0
2021-03-26,3.1,28.8,75.0
2021-03-27,3.0,27.8,82.0
2021-03-28,0.1,27.2,82.0
2021-03-29,24.7,27.4,86.0
2021-03-30,2.5,27.9,83.0
2021-03-31,1.5,28.9,73.0
2021-04-01,0.75,29.8,70.0
2021-04-02,0.0,29.2,76.0
2021-04-03,0.0,27.8,81.0
2021-04-04,1.6,28.8,78.0
2021-04-05,0.2,28.3,82.0
2021-04-06,5.6,27.8,84.0
2021-04-07,13.55,25.9,91.0
2021-04-08,21.5,28.1,77.0
2021-04-09,0.0,28.7,75.0
2021-04-10,0.0,28.2,79.0
2021-04-11,0.0,28.3,82.0
2021-04-12,0.0,28.2,79.0
2021-04-13,2.5,26.8,85.0
2021-04-14,3.666666666666667,26.9,84.0
2021-04-15,4.833333333333334,27.2,84.0
2021-04-16,6.0,26.9,84.0
2021-04-17,18.6,27.9,80.0
2021-04-18,0.0,28.8,77.0
2021-04-19,0.0,27.0,80.0
2021-04-20,0.8,28.5,79.0
2021-04-21,0.0,28.3,79.0
2021-04-22,0.8,26.7,83.0
2021-04-23,5.675,26.8,84.0
2021-04-24,10.55,26.0,89.0
2021-04-25,15.425,27.0,84.0
2021-04-26,20.3,27.7,80.0
2021-04-27,0.5,26.1,91.0
2021-04-28,1.9,28.0,82.0
2021-04-29,2.3,27.5,82.0
2021-04-30,2.7,28.1,81.0
2021-05-01,0.0,26.9,85.0
2021-05-02,31.7,27.9,82.0
2021-05-03,26.633333333333333,29.4,77.0
2021-05-04,21.566666666666666,26.7,87.0
2021-05-05,16.5,28.2,78.0
2021-05-06,28.2,27.8,81.0
2021-05-07,14.1,28.5,79.0
2021-05-08,0.0,28.4,82.0
2021-05-09,8.75,27.7,86.0
2021-05-10,17.5,28.2,84.0
2021-05-11,0.0,29.2,78.0
2021-05-12,1.0,27.7,82.0
2021-05-13,1.2,29.0,75.0
2021-05-14,7.500000000000001,27.6,84.0
2021-05-15,13.8,28.6,82.0
2021-05-16,3.0,28.8,81.0
2021-05-17,8.7,28.3,85.0
2021-05-18,14.4,28.6,82.0
2021-05-19,0.0,29.3,78.0
2021-05-20,0.0,28.8,80.0
2021-05-21,0.0,27.9,84.0
2021-05-22,0.0,28.1,81.0
2021-05-23,3.5,29.5,74.0
2021-05-24,0.0,29.3,74.0
2021-05-25,0.0,29.5,73.0
2021-05-26,2.1,28.0,84.0
2021-05-27,4.2,27.4,86.0
2021-05-28,6.300000000000001,27.9,81.0
2021-05-29,8.4,28.6,78.0
2021-05-30,3.3,28.2,79.0
2021-05-31,3.5,27.5,84.0
2021-06-01,10.0,28.9,79.0
2021-06-02,33.0,27.9,89.0
2021-06-03,0.6,27.7,88.0
2021-06-04,23.5,26.6,91.0
2021-06-05,11.75,28.2,82.0
2021-06-06,0.0,28.8,76.0
2021-06-07,8.6,29.2,79.0
2021-06-08,0.0,29.6,75.0
2021-06-09,0.0,28.0,80.0
2021-06-10,0.0,27.8,80.0
2021-06-11,1.2,29.8,74.0
2021-06-12,0.0,27.7,82.0
2021-06-13,1.4,28.5,79.0
2021-06-14,2.8,28.5,82.0
2021-06-15,1.6,27.4,86.0
2021-06-16,2.7,28.9,78.0
2021-06-17,1.9500000000000002,29.0,73.0
